date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-14,Kuala Lumpur,Pro,2019,1,106438.044583224,13364
2019-01-14,Labuan,Private,2019,1,327.61356109,58
2019-01-14,Labuan,Pro,2019,1,111.810627124,16
2019-01-14,Melaka,Private,2019,1,18790.04912049,2053
2019-01-14,Melaka,Pro,2019,1,14354.897368996,1615
2019-01-14,N. Sembilan,Private,2019,1,16185.809942516,1877
2019-01-14,N. Sembilan,Pro,2019,1,14698.487586042,1798
2019-01-14,Pahang,Private,2019,1,18551.98147117,1988
2019-01-14,Pahang,Pro,2019,1,6982.564485004,859
2019-01-14,Penang,Private,2019,1,43081.582608368,4352
2019-01-14,Penang,Pro,2019,1,32158.462710768,4150
2019-01-14,Perak,Private,2019,1,27563.936561464,2918
2019-01-14,Perak,Pro,2019,1,14331.990113132,1856
2019-01-14,Perlis,Private,2019,1,2766.761566678,365
2019-01-14,Perlis,Pro,2019,1,688.652170644,99
2019-01-14,Putrajaya,Private,2019,1,3969.516077862,477
2019-01-14,Putrajaya,Pro,2019,1,2691.74117083,306
2019-01-14,Sabah,Private,2019,1,34311.203317344,3885
2019-01-14,Sabah,Pro,2019,1,19723.00591176,2362
2019-01-14,Sarawak,Private,2019,1,12757.789941612,1594
2019-01-14,Sarawak,Pro,2019,1,7914.879277834,1155
2019-01-14,Selangor,Private,2019,1,148234.309405818,15450
2019-01-14,Selangor,Pro,2019,1,191694.785178204,24043
2019-01-14,Terengganu,Private,2019,1,21355.096745628,2465
